Rank;FirstName;LastName;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3
159;Cameron;Johnson;PHX;25;29;24;5;24.3;10.3;3.6;8.4;42.4;2.2;5.3;40.9;1.0;1.3;78.4;0.4;3.4;3.8;1.2;0.8;0.8;0.3;1.6;19.0;0;0
160;Immanuel;Quickley;NYK;22;29;13;16;21.8;10.2;3.3;8.6;39.0;1.8;5.3;34.6;1.7;1.8;92.3;0.4;2.0;2.4;2.6;1.1;0.7;0.1;2.2;17.9;0;0
161;Terance;Mann;LAC;25;29;15;14;28.6;10.0;3.7;7.9;47.4;1.0;2.8;35.8;1.6;2.0;78.0;1.6;4.0;5.6;2.3;1.1;0.6;0.1;2.4;21.1;3;0
162;Onyeka;Okongwu;ATL;21;1;0;1;13.9;10.0;4.0;4.0;100;0.0;0.0;0.0;2.0;2.0;100;0.0;2.0;2.0;0.0;1.0;1.0;0.0;5.0;14.4;0;0
163;Jeff;Green;DEN;35;29;15;14;25.3;10.0;3.5;7.1;49.3;0.8;2.4;34.3;2.2;2.6;82.9;0.4;2.7;3.1;1.2;1.0;0.3;0.5;2.3;16.8;1;0
164;Justin;Holiday;IND;32;25;10;15;27.7;10.0;3.6;9.0;39.4;2.4;6.7;35.3;0.5;0.6;80.0;0.3;2.5;2.8;1.6;0.8;0.5;0.3;2.1;17.4;0;0
165;Max;Strus;MIA;25;24;15;9;21.3;10.0;3.4;7.5;45.8;2.2;5.4;41.1;0.9;1.3;73.3;0.3;2.9;3.2;1.0;0.6;0.4;0.1;1.5;16.0;0;0
166;Michael Jr.;Porter;DEN;23;9;5;4;29.4;9.9;4.1;11.4;35.9;1.1;5.3;20.8;0.6;1.0;55.6;1.0;5.6;6.6;1.9;1.3;1.1;0.2;1.8;23.3;1;0
167;Dorian;Finney-Smith;DAL;28;29;14;15;32.3;9.8;3.7;8.1;44.9;1.8;4.8;37.9;0.7;1.1;61.3;1.7;3.0;4.7;1.8;0.9;1.4;0.5;2.3;22.9;0;0
168;Malik;Monk;LAL;23;28;15;13;23.8;9.7;3.6;8.1;44.7;1.7;4.8;36.1;0.7;0.9;80.0;0.4;2.4;2.8;2.2;1.3;0.7;0.3;1.5;17.9;0;0
