Rank;FirstName;LastName;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3
233;Maxi;Kleber;DAL;29;20;9;11;23.6;7.3;2.5;5.7;43.0;1.5;4.1;36.6;0.9;1.2;73.9;1.2;4.7;5.9;1.0;0.6;0.4;0.8;2.2;18.7;1;0
234;Nic;Claxton;BKN;22;11;8;3;18.6;7.2;3.2;4.8;66.0;0.0;0.0;0.0;0.8;1.5;52.9;1.3;3.3;4.5;0.5;0.7;0.4;0.9;2.2;16.4;0;0
235;Steven;Adams;MEM;28;31;19;12;25.5;7.2;2.6;5.0;53.2;0.0;0.0;0.0;1.9;3.0;61.7;3.9;4.9;8.9;2.7;1.7;1.0;0.6;1.6;24.9;4;0
236;Danny;Green;PHI;34;23;10;13;24.3;7.0;2.4;5.9;41.5;1.9;5.0;38.3;0.3;0.3;100;0.6;2.1;2.7;1.2;1.0;1.4;0.8;1.9;17.7;0;0
237;Sekou;Doumbouya;LAL;20;2;0;2;8.2;7.0;2.5;4.0;62.5;0.5;1.0;50.0;1.5;2.0;75.0;1.0;2.0;3.0;0.0;1.0;1.5;1.0;0.5;17.1;0;0
238;Khem;Birch;TOR;29;15;7;8;22.9;6.9;2.7;5.3;50.0;0.0;0.4;0.0;1.6;2.2;72.7;3.2;2.5;5.7;1.3;0.6;1.0;0.5;1.8;19.5;0;0
239;Jeremiah;Robinson-Earl;OKC;21;28;9;19;21.7;6.9;2.6;6.3;41.2;1.0;3.2;32.6;0.7;1.0;70.4;1.6;4.1;5.7;0.8;0.9;0.5;0.3;1.6;16.3;2;0
240;Mitchell;Robinson;NYK;23;27;11;16;24.2;6.9;2.8;3.7;75.2;0.0;0.0;0.0;1.3;2.1;62.5;3.1;4.4;7.6;0.6;0.5;0.5;1.7;2.7;22.8;4;0
241;Kenrich;Williams;OKC;27;25;9;16;20.8;6.9;2.7;6.0;45.0;0.9;2.2;40.0;0.7;1.3;53.1;1.3;2.4;3.7;2.0;0.8;1.0;0.2;1.7;17.0;0;0
242;Bruce;Brown;BKN;25;24;16;8;22.5;6.9;3.0;6.4;46.8;0.3;1.0;32.0;0.5;0.7;76.5;1.4;2.9;4.3;1.1;0.6;1.3;0.4;2.5;18.1;0;0
243;Kelan;Martin;IND;26;23;11;12;17.6;6.9;2.9;6.7;43.1;0.8;2.8;29.2;0.3;0.5;63.6;0.7;1.3;2.0;0.9;0.6;0.5;0.3;1.4;12.4;0;0
243;Tristan;Thompson;SAC;30;23;10;13;15.7;6.9;2.8;5.3;53.7;0.0;0.0;0.0;1.2;2.3;53.8;2.8;3.1;5.9;0.7;1.0;0.3;0.4;1.8;16.0;1;0
245;Deni;Avdija;WAS;20;31;16;15;21.7;6.8;2.5;5.6;44.6;0.8;2.6;32.5;0.9;1.3;70.0;0.8;4.1;4.9;1.3;0.7;0.7;0.7;2.1;18.2;1;0
246;Jeremy;Lamb;IND;29;24;9;15;13.9;6.8;2.0;5.6;36.3;1.0;2.9;34.3;1.7;1.8;95.2;0.3;2.1;2.4;1.3;0.5;0.5;0.3;1.0;13.5;0;0
247;Blake;Griffin;BKN;32;22;16;6;22.1;6.7;2.5;6.7;36.7;0.7;3.5;19.7;1.1;1.6;71.4;1.1;3.9;5.0;2.2;0.6;0.6;0.5;2.5;18.8;1;0
248;Nemanja;Bjelica;GSW;33;30;24;6;14.7;6.7;2.4;5.2;47.1;1.0;2.5;40.5;0.8;1.2;67.6;0.9;2.9;3.8;1.7;1.1;0.6;0.3;1.5;15.6;1;0
248;Yuta;Watanabe;TOR;27;10;6;4;19.5;6.7;2.2;5.9;37.3;1.4;3.9;35.9;0.9;1.7;52.9;0.9;3.1;4.0;1.1;0.3;0.6;0.7;1.5;16.8;1;0
250;Derrick Jr.;Jones;CHI;24;23;15;8;17.9;6.7;2.5;4.4;57.4;0.3;1.1;30.8;1.3;1.6;83.3;1.3;2.1;3.4;0.5;0.5;0.5;0.9;2.3;15.3;0;0
250;Mason;Plumlee;CHA;31;23;13;10;25.1;6.7;2.9;4.9;58.9;0.0;0.0;0.0;1.0;2.5;37.9;2.5;4.6;7.1;2.8;1.2;0.8;0.9;2.9;23.3;3;0
252;Svi;Mykhailiuk;TOR;24;29;14;15;17.8;6.7;2.4;5.9;41.5;1.1;3.3;32.0;0.7;0.8;87.5;0.6;2.0;2.6;1.1;0.8;0.7;0.1;1.4;13.0;0;0
253;Ben;McLemore;POR;28;16;6;10;13.0;6.7;2.3;4.9;46.2;1.8;4.1;43.9;0.4;0.4;85.7;0.3;0.8;1.1;0.6;0.6;0.4;0.0;0.9;9.4;0;0
254;Dewayne;Dedmon;MIA;32;31;18;13;17.5;6.7;2.6;4.5;58.2;0.4;0.6;61.1;1.0;1.4;76.2;1.8;4.4;6.2;0.9;0.9;0.4;0.4;2.3;17.0;3;0
254;Robert;Covington;POR;31;31;13;18;27.6;6.7;2.5;6.4;39.4;1.5;4.6;33.6;0.1;0.1;100;0.6;4.4;5.0;1.2;1.0;1.2;1.2;2.4;20.8;0;0
256;Wayne;Ellington;LAL;34;23;11;12;21.4;6.7;2.2;5.7;38.9;2.0;5.3;38.5;0.2;0.2;80.0;0.2;1.4;1.7;0.8;0.5;0.6;0.1;1.1;11.3;0;0
257;Armoni;Brooks;HOU;23;25;9;16;15.9;6.6;2.2;6.0;37.3;1.6;4.9;33.3;0.5;0.6;86.7;0.3;1.6;1.9;1.3;0.5;0.6;0.2;1.4;12.7;0;0
258;Lou;Williams;ATL;35;24;12;12;13.6;6.6;2.5;6.3;39.3;0.6;1.8;34.1;1.1;1.3;81.3;0.3;1.2;1.5;1.3;1.0;0.6;0.1;0.9;11.5;0;0
259;Patrick;Williams;CHI;20;5;4;1;24.9;6.6;2.6;4.6;56.5;0.6;1.2;50.0;0.8;0.8;100;0.2;2.0;2.2;0.6;0.4;0.6;0.4;1.8;12.7;0;0
260;Jaden;McDaniels;MIN;21;27;14;13;25.1;6.6;2.6;6.7;39.4;0.9;3.1;28.6;0.4;0.6;68.8;1.3;3.0;4.3;0.8;0.9;0.9;0.5;3.6;16.2;0;0
261;Gary II;Payton;GSW;29;29;23;6;14.2;6.6;2.7;4.0;65.8;0.6;1.5;39.5;0.7;1.1;61.3;1.0;2.1;3.1;0.7;0.5;1.2;0.2;1.6;15.1;0;0
262;Ty;Jerome;OKC;24;22;7;15;13.6;6.5;2.3;5.7;39.7;0.9;3.2;28.2;1.1;1.3;82.8;0.3;0.8;1.0;1.2;0.6;0.6;0.1;1.3;11.3;0;0
263;Hassani;Gravett;ORL;25;2;1;1;24.4;6.5;2.0;5.0;40.0;1.5;4.0;37.5;1.0;1.0;100;0.5;3.0;3.5;3.0;1.5;1.0;0.0;2.5;16.7;0;0
264;Isaiah;Roby;OKC;23;13;1;12;12.6;6.4;2.5;4.8;51.6;0.4;1.2;33.3;1.1;1.3;82.4;1.1;1.6;2.7;0.8;0.7;0.2;0.4;1.2;11.9;0;0
265;Josh;Jackson;DET;24;24;3;21;17.8;6.4;2.3;5.9;39.7;0.8;2.7;28.1;1.0;1.4;69.7;0.5;2.6;3.1;1.5;1.0;0.4;0.4;1.7;13.8;0;0
265;Killian;Hayes;DET;20;24;5;19;25.9;6.4;2.3;6.6;34.0;0.9;2.9;31.9;1.0;1.0;92.0;0.5;2.8;3.3;3.7;1.5;1.1;0.5;2.6;19.1;1;0
267;Larry Jr.;Nance;POR;28;31;13;18;21.9;6.3;2.5;4.9;52.0;0.4;1.5;27.1;0.8;1.3;60.0;1.5;4.1;5.6;1.7;0.8;0.9;0.4;1.6;18.7;0;0
268;Cory;Joseph;DET;30;25;5;20;21.1;6.3;2.2;5.1;42.5;0.5;1.7;27.9;1.5;1.8;82.2;0.3;1.6;1.9;3.5;1.4;0.8;0.2;1.5;15.4;0;0
269;Moritz;Wagner;ORL;24;26;5;21;11.7;6.3;2.0;4.5;44.9;1.0;2.8;37.0;1.2;1.5;76.9;0.5;2.0;2.5;0.8;0.8;0.2;0.2;1.8;10.7;0;0
270;Zeke;Nnaji;DEN;20;17;10;7;14.9;6.2;2.1;4.3;47.9;1.1;2.2;51.4;1.0;1.5;68.0;1.0;2.2;3.2;0.5;0.4;0.2;0.4;1.6;12.2;0;0
271;Thaddeus;Young;SAS;33;22;8;14;14.1;6.2;2.9;5.1;56.6;0.0;0.1;0.0;0.4;0.8;44.4;1.5;1.9;3.4;2.5;1.0;0.9;0.3;1.4;16.5;0;0
272;Facundo;Campazzo;DEN;30;28;14;14;20.3;6.2;2.1;5.1;40.3;1.2;3.3;35.9;0.9;1.0;85.7;0.4;1.5;1.9;3.3;1.0;1.0;0.3;1.9;16.3;0;0
273;Alex;Len;SAC;28;21;9;12;17.0;6.1;2.4;4.5;52.6;0.3;0.7;40.0;1.1;1.7;63.9;1.2;3.0;4.2;1.0;1.1;0.2;1.0;3.0;15.3;0;0
274;Jarred;Vanderbilt;MIN;22;29;14;15;24.8;6.1;2.6;4.5;56.5;0.1;0.3;22.2;0.9;1.3;73.0;3.1;5.4;8.6;1.2;1.1;1.5;0.8;2.8;24.0;3;0
275;Cam;Thomas;BKN;20;23;14;9;15.5;6.1;2.4;6.3;38.2;0.6;2.5;22.8;0.7;0.9;81.0;0.2;1.9;2.0;1.2;0.5;0.4;0.2;0.5;11.5;0;0
276;Andre;Drummond;PHI;28;29;14;15;19.7;6.0;2.5;4.9;50.3;0.0;0.0;0.0;1.1;1.9;56.4;3.0;6.4;9.3;1.9;1.7;1.0;1.1;2.5;24.8;4;0
277;Kevon;Looney;GSW;25;30;24;6;18.8;6.0;2.5;4.6;54.7;0.0;0.0;0.0;1.0;1.8;58.5;2.4;4.1;6.4;1.3;0.7;0.5;0.8;2.5;18.7;1;0
278;Aaron;Holiday;WAS;25;30;15;15;16.1;6.0;2.4;5.2;47.1;0.5;1.4;34.9;0.6;0.8;79.2;0.1;1.5;1.6;1.7;1.0;0.5;0.3;1.6;12.0;0;0
278;Ayo;Dosunmu;CHI;21;25;16;9;17.9;6.0;2.4;4.8;50.4;0.7;1.6;41.5;0.4;0.8;57.9;0.5;1.6;2.1;1.2;0.8;0.4;0.2;1.5;11.2;0;0
278;BJ;Johnson;ORL;25;2;1;1;20.2;6.0;2.5;6.5;38.5;1.0;3.0;33.3;0.0;0.0;0.0;2.0;2.5;4.5;0.0;0.0;0.0;0.5;2.0;12.9;0;0
278;Coby;White;CHI;21;10;6;4;18.2;6.0;2.4;7.0;34.3;0.7;3.5;20.0;0.5;0.9;55.6;0.1;2.3;2.4;1.4;0.9;0.2;0.1;1.7;11.0;0;0
278;Louis;King;SAC;22;4;1;3;13.1;6.0;1.8;5.5;31.8;1.0;3.5;28.6;1.5;1.8;85.7;0.0;1.8;1.8;0.3;0.0;0.5;0.0;1.8;10.0;0;0
283;Jalen;McDaniels;CHA;23;25;13;12;16.3;6.0;2.1;4.0;51.5;0.9;2.2;41.8;0.9;1.4;64.7;0.7;2.9;3.6;1.0;0.6;0.4;0.3;1.7;13.4;1;0
284;Kira Jr.;Lewis;NOP;20;24;6;18;14.2;5.9;2.5;6.1;40.4;0.5;2.4;22.4;0.4;0.5;83.3;0.4;1.3;1.6;2.0;1.1;0.5;0.0;0.7;11.3;0;0
285;Avery;Bradley;LAL;31;26;14;12;23.0;5.8;2.2;5.5;40.6;1.3;3.3;40.0;0.1;0.1;100;0.5;2.1;2.5;0.8;0.5;0.8;0.2;1.6;12.7;0;0
286;Austin;Reaves;LAL;23;17;12;5;19.7;5.8;2.0;4.0;50.0;0.9;2.4;39.0;0.9;1.0;88.2;0.3;2.2;2.5;1.1;0.7;0.2;0.1;1.7;10.7;0;0
287;DeMarcus;Cousins;MIL;31;9;5;4;14.4;5.8;1.9;5.1;37.0;0.6;2.6;21.7;1.4;1.7;86.7;1.4;3.7;5.1;1.1;1.3;1.1;0.2;2.7;16.2;1;0
288;Josh;Christopher;HOU;20;22;8;14;12.8;5.8;2.2;4.4;49.5;0.7;1.6;45.7;0.7;1.0;71.4;0.5;1.0;1.4;1.5;1.2;0.7;0.0;1.0;10.7;0;0
289;Dennis Jr.;Smith;POR;24;16;6;10;17.4;5.8;2.1;5.0;42.5;0.3;1.1;27.8;1.2;1.7;70.4;0.4;1.9;2.3;3.1;1.8;1.3;0.4;1.4;16.5;0;0
290;Davis;Bertans;WAS;29;21;10;11;15.8;5.7;1.7;5.1;33.3;1.2;4.1;29.9;1.0;1.1;91.3;0.1;1.6;1.8;0.5;0.4;0.4;0.1;1.7;9.7;0;0
291;Derrick;Favors;OKC;30;22;9;13;16.5;5.6;2.5;5.0;50.9;0.1;0.4;22.2;0.5;0.8;55.6;1.4;3.6;5.0;0.6;0.3;0.5;0.2;1.4;14.2;1;0
292;Reggie;Bullock;DAL;30;27;13;14;23.9;5.6;2.1;5.9;35.4;1.2;4.3;27.4;0.3;0.4;72.7;0.2;2.5;2.7;0.9;0.6;0.3;0.1;1.4;10.8;0;0
293;Jaxson;Hayes;NOP;21;20;4;16;11.7;5.6;2.0;4.0;50.6;0.2;0.6;36.4;1.4;1.9;75.7;1.3;2.0;3.2;0.3;0.7;0.3;0.6;1.6;11.7;0;0
294;DeAndre';Bembry;BKN;27;26;18;8;19.6;5.6;2.4;4.3;56.8;0.3;0.8;40.9;0.4;0.8;47.6;0.7;2.5;3.3;1.1;0.7;0.9;0.5;2.3;14.6;0;0
295;Javonte;Green;CHI;28;24;16;8;21.2;5.5;2.1;4.4;48.1;0.5;1.2;39.3;0.8;1.1;76.9;1.7;2.7;4.3;0.8;0.7;0.8;0.4;2.0;15.0;0;0
296;Dwight;Powell;DAL;30;29;14;15;19.2;5.5;2.1;3.7;57.5;0.2;0.7;35.0;1.0;1.5;69.8;1.9;2.5;4.4;1.1;0.7;0.4;0.5;2.4;14.4;0;0
297;Matisse;Thybulle;PHI;24;23;13;10;24.1;5.5;2.2;4.8;46.4;0.7;2.5;29.8;0.3;0.3;87.5;0.5;1.7;2.1;1.0;0.9;1.7;1.1;2.0;17.2;0;0
298;Brandon Jr.;Boston;LAC;20;17;10;7;12.2;5.4;1.8;4.6;39.2;0.7;2.1;34.3;1.1;1.2;85.7;0.1;1.4;1.5;0.4;0.7;0.6;0.2;0.9;9.6;0;0
299;JaMychal;Green;DEN;31;25;12;13;14.4;5.4;2.1;5.1;40.9;0.5;2.4;22.0;0.7;0.9;78.3;0.9;2.4;3.3;0.8;1.0;0.8;0.5;2.2;13.6;0;0
300;P.J.;Dozier;DEN;25;18;9;9;18.9;5.4;2.0;5.5;36.4;0.8;2.7;31.3;0.6;0.7;76.9;0.8;2.7;3.5;1.6;0.7;0.6;0.3;1.8;14.1;0;0
301;Garrett;Temple;NOP;35;29;10;19;18.3;5.3;1.8;4.7;38.2;1.1;2.9;36.5;0.7;0.8;79.2;0.7;2.1;2.9;1.1;0.9;0.9;0.5;1.7;13.7;0;0
302;Oshae;Brissett;IND;23;20;8;12;15.7;5.3;2.2;4.6;47.3;0.9;2.3;37.0;0.2;0.6;27.3;0.8;2.4;3.2;0.6;0.8;0.6;0.2;1.3;11.5;0;0
303;Dean;Wade;CLE;25;21;12;9;20.6;5.3;2.0;4.4;44.1;1.1;3.0;36.5;0.3;0.4;75.0;0.7;2.7;3.4;1.2;0.3;0.6;0.0;1.7;12.8;1;0
303;Drew;Eubanks;SAS;24;28;10;18;13.8;5.3;1.9;3.8;50.9;0.0;0.2;20.0;1.4;1.8;79.6;1.2;3.2;4.4;1.3;1.3;0.4;0.8;1.5;14.8;1;0
303;Saben;Lee;DET;22;14;1;13;14.9;5.3;1.9;4.9;37.7;0.5;2.1;24.1;1.1;1.5;71.4;0.3;2.0;2.3;2.1;0.9;1.1;0.2;1.0;14.4;0;0
306;Cody;Zeller;POR;29;24;11;13;13.3;5.1;1.8;3.2;56.6;0.0;0.2;0.0;1.5;2.0;76.6;1.8;2.8;4.6;0.8;0.7;0.3;0.3;2.1;12.8;0;0
307;D.J.;Augustin;HOU;34;26;8;18;14.5;5.1;1.6;3.7;42.7;1.1;2.5;43.1;0.8;1.0;88.0;0.2;0.9;1.0;2.5;1.3;0.3;0.0;0.6;9.7;0;0
308;Aleem;Ford;ORL;23;2;1;1;12.3;5.0;2.0;4.5;44.4;1.0;3.5;28.6;0.0;0.0;0.0;0.5;0.5;1.0;0.0;1.0;0.5;0.0;0.0;6.7;0;0
308;Torrey;Craig;IND;31;28;12;16;14.7;5.0;1.9;4.0;48.6;0.5;1.9;27.8;0.6;0.8;77.3;1.1;2.0;3.1;0.8;0.6;0.4;0.3;1.5;11.3;1;0
308;Xavier;Tillman;MEM;22;24;15;9;14.6;5.0;1.9;4.3;43.7;0.3;1.2;21.4;1.0;1.5;66.7;1.3;2.1;3.4;1.4;0.8;1.2;0.5;1.4;15.4;0;0
311;Dwight;Howard;LAL;36;25;12;13;15.1;5.0;1.8;2.9;62.5;0.2;0.3;75.0;1.1;1.8;60.9;1.6;3.8;5.4;0.5;0.9;0.8;0.7;1.8;15.8;1;0
312;Boban;Marjanovic;DAL;33;14;7;7;6.0;4.9;2.2;3.4;64.6;0.1;0.2;33.3;0.4;0.9;46.2;0.4;1.5;1.9;0.1;0.6;0.0;0.1;1.1;7.2;0;0
313;Ish;Smith;CHA;33;20;10;10;14.1;4.9;2.3;5.4;41.7;0.2;0.5;40.0;0.2;0.4;37.5;0.2;1.2;1.3;2.5;1.0;0.5;0.3;1.0;11.3;0;0
314;James;Johnson;BKN;34;18;13;5;18.2;4.8;2.1;4.4;48.1;0.3;0.9;31.3;0.3;0.8;42.9;0.9;3.0;3.9;1.9;0.6;0.5;0.4;2.4;14.5;1;0
315;Romeo;Langford;BOS;22;23;10;13;17.8;4.8;1.8;4.4;41.2;0.7;1.9;37.2;0.5;0.7;73.3;1.0;2.2;3.1;0.6;0.5;0.4;0.2;1.3;10.6;0;0
316;Danuel Jr.;House;HOU;28;16;7;9;14.5;4.8;1.6;4.6;33.8;0.6;2.1;29.4;1.1;1.2;89.5;0.3;2.4;2.7;1.2;1.1;0.3;0.3;1.0;10.6;0;0
317;Ziaire;Williams;MEM;20;19;10;9;17.8;4.7;1.8;5.2;35.4;0.8;3.4;24.6;0.2;0.3;66.7;0.3;1.2;1.5;0.6;0.6;0.4;0.3;1.7;9.1;0;0
318;Juan;Toscano-Anderson;GSW;28;29;24;5;16.2;4.7;1.9;3.7;50.9;0.3;1.2;25.0;0.6;1.0;64.3;0.6;2.3;3.0;2.1;1.2;0.6;0.4;1.4;13.3;0;0
319;Aleksej;Pokusevski;OKC;19;27;9;18;14.6;4.7;2.0;5.6;35.1;0.5;2.5;20.9;0.3;0.5;50.0;1.1;3.3;4.3;1.2;1.1;0.5;0.5;1.2;13.4;0;0
320;DeAndre;Jordan;LAL;33;25;14;11;13.4;4.6;2.2;3.2;68.4;0.0;0.0;0.0;0.3;0.5;61.5;1.6;4.2;5.7;0.3;0.8;0.3;0.9;1.8;14.9;0;0
321;Taurean;Prince;MIN;27;24;11;13;15.4;4.6;1.5;4.2;36.6;0.9;2.8;30.9;0.7;0.9;76.2;0.5;1.6;2.1;0.8;0.5;0.4;0.2;1.5;9.6;0;0
322;Jabari;Parker;BOS;26;9;3;6;9.3;4.6;1.6;3.0;51.9;0.6;1.0;55.6;0.9;0.9;100;0.4;1.8;2.2;0.4;0.6;0.3;0.1;1.2;8.7;0;0
323;David;Nwaba;HOU;28;22;4;18;11.8;4.5;1.8;3.6;48.8;0.2;1.0;19.0;0.8;1.2;63.0;0.8;2.5;3.3;0.6;0.5;0.6;0.3;1.2;11.5;0;0
323;Jaylen;Nowell;MIN;22;16;10;6;8.3;4.5;1.9;4.4;42.9;0.5;1.3;40.0;0.3;0.4;66.7;0.2;1.0;1.2;1.2;0.2;0.3;0.3;0.5;9.2;0;0
325;Damian;Jones;SAC;26;15;6;9;9.6;4.4;1.6;2.6;61.5;0.2;0.3;75.0;1.0;1.4;71.4;1.2;1.9;3.1;0.6;0.5;0.1;0.4;1.3;9.9;0;0
325;Jonathan;Kuminga;GSW;19;20;16;4;8.5;4.4;1.7;3.5;49.3;0.3;1.2;26.1;0.7;1.2;60.9;0.4;1.1;1.5;0.4;0.8;0.4;0.1;1.0;7.3;0;0
327;Kent;Bazemore;LAL;32;21;11;10;18.7;4.3;1.5;4.5;33.7;0.8;2.4;34.0;0.5;0.6;76.9;0.3;1.8;2.1;0.9;0.4;0.9;0.2;2.3;11.3;0;0
327;Troy Jr.;Brown;CHI;22;18;13;5;12.8;4.3;1.7;4.1;41.1;0.4;1.7;26.7;0.6;0.8;71.4;0.4;2.1;2.5;0.8;0.4;0.3;0.1;0.8;9.4;0;0
329;Markus;Howard;DEN;22;16;7;9;7.2;4.3;1.4;3.9;35.5;1.1;2.9;39.1;0.4;0.5;87.5;0.0;0.3;0.3;0.3;0.4;0.4;0.0;0.7;5.9;0;0
330;Serge;Ibaka;LAC;32;11;6;5;14.0;4.3;1.5;4.3;36.2;0.7;1.8;40.0;0.5;0.7;62.5;1.1;2.0;3.1;1.2;0.5;0.2;0.3;1.9;10.6;0;0
331;Austin;Rivers;DEN;29;19;11;8;17.5;4.3;1.7;4.6;36.8;0.7;2.7;26.9;0.2;0.3;50.0;0.4;1.1;1.5;0.8;0.5;0.5;0.1;1.2;8.5;0;0
332;Jarrett;Culver;MEM;22;12;8;4;8.6;4.3;1.8;3.5;52.4;0.3;1.0;25.0;0.3;0.7;50.0;0.2;1.3;1.4;1.2;0.3;0.5;0.1;0.4;9.2;0;0
333;Trey III;Murphy;NOP;21;29;9;20;13.4;4.2;1.4;3.9;36.0;1.1;2.9;36.9;0.3;0.4;83.3;0.6;1.5;2.1;0.6;0.3;0.3;0.1;1.1;8.7;0;0
334;Enes;Freedom;BOS;29;19;9;10;11.7;4.2;1.7;3.5;47.8;0.1;0.2;33.3;0.8;0.9;83.3;2.2;3.2;5.4;0.2;0.6;0.2;0.5;1.1;12.4;1;0
335;John;Konchar;MEM;25;29;19;10;15.7;4.2;1.7;3.0;54.5;0.6;1.3;47.4;0.3;0.6;50.0;1.0;2.6;3.6;1.2;0.5;0.7;0.2;1.1;12.6;0;0
336;Sam;Merrill;MEM;25;6;2;4;9.6;4.2;1.3;4.0;33.3;1.2;3.8;30.4;0.3;0.7;50.0;0.2;1.0;1.2;0.7;0.3;0.0;0.0;0.5;6.2;0;0
337;Dalano;Banton;TOR;22;27;13;14;12.7;4.1;1.6;3.6;45.8;0.2;0.7;30.0;0.7;0.9;75.0;0.7;1.7;2.3;1.8;1.0;0.4;0.2;1.4;10.4;0;0
338;Kevin II;Knox;NYK;22;8;2;6;8.9;4.1;1.3;3.3;38.5;1.0;2.4;42.1;0.6;1.0;62.5;0.6;1.1;1.8;0.4;0.3;0.3;0.0;0.3;7.3;0;0
339;Andre;Iguodala;GSW;37;15;12;3;19.9;4.1;1.6;4.1;39.3;0.5;2.5;18.9;0.4;0.5;75.0;0.7;2.8;3.5;3.7;0.7;0.7;0.8;0.9;17.8;0;0
340;Luka;Garza;DET;22;17;1;16;9.4;4.1;1.5;3.2;45.5;0.4;1.2;35.0;0.7;1.1;66.7;1.1;1.0;2.1;0.4;0.5;0.4;0.1;1.6;8.0;0;0
341;Frank;Ntilikina;DAL;23;21;10;11;11.9;4.0;1.4;4.0;34.9;0.7;2.1;33.3;0.6;0.6;100;0.1;1.4;1.5;1.2;0.5;0.6;0.1;1.0;9.4;0;0
342;Alfonzo;McKinnie;CHI;29;2;1;1;23.1;4.0;1.5;5.0;30.0;1.0;3.0;33.3;0.0;1.0;0.0;0.5;0.5;1.0;1.0;1.0;0.5;0.5;2.5;8.7;0;0
342;James;Bouknight;CHA;21;14;7;7;8.2;4.0;1.4;3.8;35.8;0.7;1.6;45.5;0.6;0.7;80.0;0.9;0.8;1.6;0.5;0.4;0.1;0.0;0.6;6.6;0;0
342;Shaquille;Harrison;BKN;28;1;0;1;21.3;4.0;2.0;6.0;33.3;0.0;2.0;0.0;0.0;0.0;0.0;1.0;3.0;4.0;3.0;2.0;1.0;1.0;3.0;17.3;0;0
345;Timothe;Luwawu-Cabarrot;ATL;26;22;12;10;12.6;4.0;1.3;3.6;36.7;0.9;2.4;36.5;0.5;0.5;90.9;0.2;1.2;1.4;0.6;0.3;0.3;0.1;1.3;7.7;0;0
346;Corey;Kispert;WAS;22;26;12;14;13.1;3.9;1.5;3.6;40.9;0.5;2.0;26.4;0.5;0.7;70.6;0.4;1.4;1.8;0.6;0.3;0.3;0.2;0.5;8.0;0;0
347;Keita;Bates-Diop;SAS;25;22;8;14;14.3;3.9;1.6;3.3;47.9;0.2;0.7;25.0;0.5;0.8;66.7;0.9;2.6;3.5;0.5;0.8;0.5;0.4;0.9;10.5;0;0
348;Tre;Jones;SAS;21;27;11;16;11.1;3.9;1.6;3.3;48.9;0.0;0.3;12.5;0.6;0.6;100;0.3;1.3;1.6;1.9;0.6;0.3;0.0;0.8;9.0;0;0
349;Charles;Bassey;PHI;21;12;4;8;9.0;3.8;1.7;2.5;66.7;0.0;0.3;0.0;0.5;0.8;66.7;1.0;2.3;3.3;0.2;0.3;0.2;1.0;1.4;11.2;1;0
350;Jalen;Smith;PHX;21;10;8;2;8.5;3.8;1.3;3.1;41.9;0.1;1.1;9.1;1.1;1.3;84.6;1.0;2.1;3.1;0.2;0.4;0.2;0.4;0.9;9.2;0;0
351;Brad;Wanamaker;IND;32;19;8;11;13.0;3.8;1.3;3.4;38.5;0.2;0.8;25.0;0.9;1.1;90.0;0.3;1.4;1.7;2.2;0.9;0.2;0.3;2.0;9.8;0;0
352;Maurice;Harkless;SAC;28;21;9;12;19.6;3.7;1.4;3.7;39.0;0.5;2.2;21.7;0.4;0.6;66.7;0.1;2.3;2.4;0.5;0.5;0.5;0.5;1.7;9.9;0;0
353;Elfrid;Payton;PHX;27;15;11;4;12.6;3.7;1.6;4.1;39.3;0.1;0.3;20.0;0.4;0.7;54.5;0.7;1.4;2.1;2.3;1.3;0.3;0.1;1.0;9.8;0;0
353;Mychal;Mulder;ORL;27;15;2;13;13.0;3.7;1.3;4.5;29.9;0.9;3.1;28.3;0.1;0.1;100;0.1;1.3;1.4;0.2;0.5;0.3;0.1;0.8;6.1;0;0
353;Rodney;Hood;MIL;29;24;14;10;15.8;3.7;1.3;3.5;35.7;0.7;2.2;30.8;0.5;0.5;100;0.4;1.6;2.0;0.8;0.2;0.3;0.0;0.9;8.3;0;0
356;Thanasis;Antetokounmpo;MIL;29;23;12;11;13.3;3.7;1.5;3.2;47.9;0.0;0.3;12.5;0.6;1.0;59.1;1.1;2.0;3.1;0.8;0.7;0.5;0.2;1.8;10.2;0;0
357;Sandro;Mamukelashvili;MIL;22;17;10;7;11.6;3.6;1.4;3.2;44.4;0.6;1.6;40.7;0.2;0.3;60.0;1.1;1.2;2.3;0.6;0.4;0.2;0.2;0.7;8.1;0;0
358;Quentin;Grimes;NYK;21;14;6;8;8.5;3.6;1.2;2.7;44.7;1.1;2.3;46.9;0.1;0.1;100;0.1;0.8;0.9;0.4;0.6;0.2;0.1;0.7;5.7;0;0
359;Santi;Aldama;MEM;20;16;9;7;9.7;3.6;1.5;4.1;36.4;0.2;1.7;11.1;0.4;0.8;58.3;1.0;1.6;2.6;0.8;0.3;0.1;0.2;1.1;8.5;1;0
360;Nerlens;Noel;NYK;27;16;6;10;23.1;3.6;1.4;2.7;51.2;0.0;0.1;0.0;0.8;1.0;81.3;2.3;3.8;6.0;0.8;0.9;1.1;1.4;2.6;18.5;0;0
